FECHA_CREACION;CARRERA;NIVEL_1;NIVEL_2;NIVEL_3;NIVEL_4
24-07-2023 10:19;INGENIERÍA EN COMERCIO EXTERIOR;Información general;Información general;Servicios y otros;Resuelto
24-07-2023 10:14;GASTRONOMÍA INTERNACIONAL;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
24-07-2023 9:57;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 9:55;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 9:53;ECOTURISMO;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
24-07-2023 9:52;ECOTURISMO;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 9:51;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Académico;Admisión especial interna ;Cambio de jornada;Resuelto
24-07-2023 9:48;TURISMO Y HOTELERÍA;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
24-07-2023 9:44;INGENIERÍA EN COMERCIO EXTERIOR;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
24-07-2023 9:43;GASTRONOMÍA INTERNACIONAL;Académico;Contacto coordinador de carrera;Programa de estudios;Resuelto
24-07-2023 9:41;INGENIERÍA EN COMERCIO EXTERIOR;Académico;Admisión especial interna ;Cambio de sede;Resuelto
24-07-2023 9:23;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
24-07-2023 9:20;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Cambio de sede;Resuelto
24-07-2023 9:08;;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
22-07-2023 13:40;AUDITORÍA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
22-07-2023 13:29;AUDITORÍA;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
22-07-2023 13:27;AUDITORÍA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
22-07-2023 13:25;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
22-07-2023 13:18;AUDITORÍA;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
